Incident ID,Year,Publishing Agency Name,Publishing Agency Unit,Agency Type Name,State Abbreviation,State Name,Division Name,Region Name,Incident Date,Offender Race,Offender Ethnicity,Victim Count,Offense Name,Total Individual Victims,Location Name,Bias Description,Victim Types,Multiple Offense,Multiple Bias
35124,1996,Boston,,City,MA,Massachusetts,New England,Northeast,1996-10-18,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
33922,1996,Santa Rosa,,City,CA,California,Pacific,West,1996-10-18,White,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Specialty Store,Anti-Asian,Business,S,S
33312,1996,Los Angeles,,City,CA,California,Pacific,West,1996-10-19,Black or African American,Not Specified,2,Robbery;Simple Assault,1,Air/Bus/Train Terminal,Anti-Asian,Individual,M,S
41274,1996,Port of Seattle,,Other,WA,Washington,Pacific,West,1996-10-20,American Indian or Alaska Native,Not Specified,1,Simple Assault,1,Air/Bus/Train Terminal,Anti-Asian,Individual,S,S
40288,1996,Plainfield,,City,NJ,New Jersey,Middle Atlantic,Northeast,1996-10-21,Black or African American,Not Specified,2,Simple Assault,2,Convenience Store,Anti-Asian,Individual,S,S
41204,1996,Haddon Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,1996-10-21,White,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
39059,1996,Downey,,City,CA,California,Pacific,West,1996-10-21,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
35564,1996,St. Louis Park,,City,MN,Minnesota,West North Central,Midwest,1996-10-24,White,Not Specified,1,Intimidation,1,School/College,Anti-Asian,Individual,S,S
39296,1996,Prince George's County Police Department,,County,MD,Maryland,South Atlantic,South,1996-10-25,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
32990,1996,Fresno,,City,CA,California,Pacific,West,1996-10-25,White,Not Specified,2,Intimidation;Simple Assault,1,School/College,Anti-Asian,Individual,M,S
37868,1996,Wausau,,City,WI,Wisconsin,East North Central,Midwest,1996-10-26,White,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
34633,1996,Wichita,,City,KS,Kansas,West North Central,Midwest,1996-10-28,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
